date,weighted,close,high,low,open,volume
12/23/2019 21:12,6603.36,6554.79,6716.02,6491.6,6604.63,46404506.58
12/24/2019 21:12,6488.14,6488.91,6563.91,6426,6554.79,45439743.62
12/25/2019 21:12,6539.37,6491.64,6694.79,6452.08,6488.91,34706342.16
12/26/2019 21:12,6463,6490.83,6523.22,6356.73,6491.64,45828981.78
12/27/2019 21:12,6541.42,6541,6574.91,6483.53,6490.83,24928117.17
12/28/2019 21:12,6607.76,6608.67,6734.53,6521.03,6541,28366926.15
12/29/2019 21:12,6516.6,6460.07,6608.67,6439.75,6608.67,47929289.96
12/30/2019 21:12,6435.21,6404.43,6508.48,6354.59,6460.07,44079550.29
12/31/2019 21:12,6433.53,6408.16,6467.66,6391.67,6404.43,25401188.76
1/1/2020 21:01,6325.01,6223.81,6412.11,6210.93,6408.16,46191504.96
1/2/2020 21:01,6515.55,6571.56,6629.82,6149.33,6223.81,91424817.51
1/3/2020 21:01,6569.68,6590.59,6622.95,6525.39,6571.56,32731720.14
1/4/2020 21:01,6656.13,6589.35,6709.94,6558.06,6590.59,42735527.31
1/5/2020 21:01,6773.19,6938.97,6964.72,6582.47,6589.35,93205933.9
1/6/2020 21:01,7129.86,7316.62,7366.77,6936.34,6938.97,160724760.1
1/7/2020 21:01,7390.05,7244.82,7619.18,7081.47,7316.62,201276207.8
1/8/2020 21:01,7105.81,7040.47,7247.3,6982.65,7244.82,92402749.73
1/9/2020 21:01,7144.66,7362.52,7362.55,6930.75,7040.47,114315961.7
1/10/2020 21:01,7306.55,7215.3,7435.52,7201.78,7362.52,59740729.3
1/11/2020 21:01,7297.35,7349.49,7350.54,7165.59,7215.3,35896257
1/12/2020 21:01,7284.57,7288.41,7362.37,7237.46,7349.49,61839194.14
1/13/2020 21:01,7731.12,7935.75,7970.85,7288.41,7288.41,143964307.2
1/14/2020 21:01,7860.25,7910.79,7984.68,7697.56,7935.75,102503628
1/15/2020 21:01,7789.24,7828.45,7936.48,7712.53,7910.79,69952229.11
1/16/2020 21:01,7995.66,8022.28,8100.61,7788.22,7828.45,92161830.04
1/17/2020 21:01,8022.96,8033.82,8086.97,7951.87,8022.28,31854835.77
1/18/2020 21:01,7939.79,7850.42,8270.1,7669.72,8033.82,88397160.21
1/19/2020 21:01,7797.72,7789.99,7875.63,7685.57,7850.42,65486115.74
1/20/2020 21:01,7794.55,7873.51,7907.23,7657.91,7789.99,59064999.96
1/21/2020 21:01,7820.48,7810.94,7934.03,7743.5,7873.51,41985413.18
1/22/2020 21:01,7593.25,7599.85,7819.08,7486.09,7810.94,66493446.36
1/23/2020 21:01,7608.73,7644.87,7721.23,7461.92,7599.85,59431602.67
